,voter_party,vote_events,avg_follow_ratio,avg_party_present_votes,avg_follow_pct
0,ประชานิยม,2,1.0,1.0,100.0
1,พลังสังคมใหม่,35,1.0,1.0,100.0
2,โอกาสไทย,2,1.0,1.0,100.0
3,ไทยรวมไทย,15,1.0,1.0,100.0
4,รวมแผ่นดิน,2,1.0,1.0,100.0
5,พรร่คภูมีใจไทย,2,1.0,1.0,100.0
6,พลังไทยรักไทย,6,1.0,1.0,100.0
7,รวมพลัง,196,0.9923469387755102,2.01,99.23
8,ประชาภิวัฒน์,146,0.9794520547945206,1.0,97.95
9,ประชาธรรมไทย,76,0.9736842105263158,1.0,97.37
10,ชาติพัฒนา,369,0.9715447154471545,3.2,97.15
11,ชาติไทยพัฒนา,362,0.970230720783207,6.72,97.02
12,รักษ์ผืนป่าประเทศไทย,155,0.9580645161290322,1.7,95.81
13,ภูมิใจไทย,372,0.9560971557110324,56.04,95.61
14,กล้าธรรม,139,0.9559753207166223,14.49,95.6
15,รวมไทยสร้างชาติ,190,0.9526091366522678,20.68,95.26
16,ท้องที่ไทย,37,0.9459459459459459,1.0,94.59
17,ประชาธิปัตย์,373,0.9453189910791393,26.13,94.53
18,พลังประชารัฐ,373,0.9413520176592683,51.01,94.14
19,พลังท้องถิ่นไท,185,0.9163963963963964,3.37,91.64
20,ไทยสร้างไทย,186,0.9154121863799284,4.48,91.54
21,เศรษฐกิจใหม่,187,0.9150623885918004,4.18,91.51
22,พลเมืองไทย,149,0.8993288590604027,1.0,89.93
23,พลังธรรมใหม่,146,0.8835616438356164,1.0,88.36
24,ไทรักธรรม,117,0.8803418803418803,1.0,88.03
25,พลังชาติไทย,113,0.8672566371681416,1.0,86.73
26,เพื่อไทย,373,0.8669010430954895,85.61,86.69
27,ครูไทยเพื่อประชาชน,138,0.8623188405797102,1.0,86.23
28,ประชาชาติ,357,0.8617122606618405,6.03,86.17
29,ไทยก้าวหน้า,94,0.8617021276595744,1.0,86.17
30,เศรษฐกิจไทย,77,0.8331400742115027,9.6,83.31
31,ประชาชน,159,0.8315580860085123,130.03,83.16
32,ใหม่,45,0.8222222222222222,1.0,82.22
33,สมาชิกวุฒิสภา,32,0.8221438750467379,180.12,82.21
34,เป็นธรรม,144,0.8020833333333334,1.02,80.21
35,ก้าวไกล,212,0.7399859126162838,47.22,74.0
36,เพื่อชาติ,166,0.7316265060240964,2.84,73.16
37,เสรีรวมไทย,220,0.719193722943723,4.24,71.92
38,พลังปวงชนไทย,121,0.6198347107438017,1.0,61.98
39,ไทยศรีวิไลย์,47,0.5957446808510638,1.0,59.57
40,อนาคตใหม่,2,0.0,60.0,0.0
